original_text,prompt,chosen,rejected,score_chosen,score_rejected,reward_margin,sft_was_better
"Fix grammaticality: First of all, from you read just to found in the poems or novel what well-known critic have already found out, you looses the pleasures of reading something which is expecting to be a new experience to you.","Fix grammatically: Fix grammaticality: First of all, from you read just to found in the poems or novel what well-known critic have already found out, you looses the pleasures of reading something which is expecting to be a new experience to you.

Corrected:"," First of all, if you read just to find in the poem or novel what well-known critics have already found out, you lose the pleasure of reading something that is expected to be a new experience to you."," First of all, from you, I read just to find out what well-known critic has already found out, you lose the pleasures of reading something which is expecting to be a new experience to you.",0.5388914585113526,0.5311577379703522,0.007733720541000411,False
"Fix grammatical errors: Their research shown that before Hurricane Sandy only "" about 50 percent during resident used the emergency departments, "" and "" only about 35 percents sought inpatient cares there and less than 10 percent used the hospitals when needing surgeries with any kind. ""","Fix grammatically: Fix grammatical errors: Their research shown that before Hurricane Sandy only "" about 50 percent during resident used the emergency departments, "" and "" only about 35 percents sought inpatient cares there and less than 10 percent used the hospitals when needing surgeries with any kind. ""

Corrected:"," Their research showed that before Hurricane Sandy only "" about 50 percent during the residents used the emergency departments, "" and "" only about 35 percent sought inpatient care there and less than 10 percent used the hospitals when needed for any kind. """," Their research showed that before Hurricane Sandy, only "" about 50 percent of residents used the emergency department "" and "" only about 35 percent sought inpatient care there, and less than 10 percent used the hospital when needing surgery of any kind. """,0.3364880532026291,0.33227733373641966,0.004210719466209434,True
"Fix grammar: It been widely blelieved tha every student interested within some subject which might not be interested by other students so it is difficult to forced students to study subjects which they unwilling to study it, otherwise they will fail in it and because of that they will feel disappointed to do any thing and this a significant issue.","Fix grammatically: Fix grammar: It been widely blelieved tha every student interested within some subject which might not be interested by other students so it is difficult to forced students to study subjects which they unwilling to study it, otherwise they will fail in it and because of that they will feel disappointed to do any thing and this a significant issue.

Corrected:"," It is widely believed that every student should be interested in some subjects which might not be interesting to other students so it is difficult to force students to study subjects which they are unwilling to study, otherwise they will fail at them and because of that they will feel too disappointed to do anything and this a significant issue."," It was widely believed that every student interested in some subject which might not be interested by other students, so it was difficult to force students to study subjects which they are unwilling to study it, otherwise they will fail in it and because of that they will feel disappointed to do any thing and this a significant issue.",0.5494784057140351,0.3388172298669815,0.21066117584705357,False
"Fix grammatical errors: This is why I totally agree like the following comments: "" My upbringings teaches me to been calm and easy-going - I really appreciate but now "". First of all, I agree with this person including I think that the ways someones has been brought having a great influence on his life.","Fix grammatically: Fix grammatical errors: This is why I totally agree like the following comments: "" My upbringings teaches me to been calm and easy-going - I really appreciate but now "". First of all, I agree with this person including I think that the ways someones has been brought having a great influence on his life.

Corrected:"," This is why I totally agree with the following comment: "" My upbringing taught me to be calm and easy-going - I really appreciate that now. "" First of all, I agree with this person because I think that the way someone has been brought up has a great influence on his life."," This is why I totally agree like the following comments: "" My upbringings teaches me to be calm and easy-going - I really appreciate, but now "". First of all, I agree with this person including I think that the ways someones have been brought have had a great influence on his life.",0.40534521540006,0.296118665933609,0.109226549466451,False
"Fix grammaticality in this sentence: yesterday I went after the Center shopping before some friends, I really enjoyed it, I liked to buy new clothes for me, it's my best hobbie, the problem is that I doesn't have so much money now, I think I'll ask for it despite my father, I need more clothes, I'm planned to goes of the shopping again tomorrows, maybe today beyond the afternoon.","Fix grammatically: Fix grammaticality in this sentence: yesterday I went after the Center shopping before some friends, I really enjoyed it, I liked to buy new clothes for me, it's my best hobbie, the problem is that I doesn't have so much money now, I think I'll ask for it despite my father, I need more clothes, I'm planned to goes of the shopping again tomorrows, maybe today beyond the afternoon.

Corrected:"," Today I went after the Center shopping before some friends, I really enjoyed it, I liked to buy new clothes for me, it's my best hobbie, the problem is that I don't have so much money now, I think I'll ask for it despite my father, I need more clothes, I'm planning to go of the shopping again tomorrow, maybe today beyond the afternoon."," Yesterday I went to the shopping centre with some friends. I really enjoyed it, I like to buy new clothes for me, it's my best hobby, the problem is that I don't have very much money now. I think I'll ask my father for some. I need more clothes. I'm planning to go to the shopping centre again tomorrow, or maybe today in the afternoon.",0.5265514552593231,0.2519733947515488,0.27457806050777434,True
"Fix grammatical errors: I've checked the prices as well it's about £2000 for the whole sets (We can all shared the money) I are really sorry, but I couldn't come and help the day before, I've gotta help my parents out, because they are goes out within the weekend.","Fix grammatically: Fix grammatical errors: I've checked the prices as well it's about £2000 for the whole sets (We can all shared the money) I are really sorry, but I couldn't come and help the day before, I've gotta help my parents out, because they are goes out within the weekend.

Corrected:"," I've checked the prices as well it's about £2000 for the whole sets (We can all share the money) I'm really sorry, but I couldn't come and help the day before, I've gotta help my parents out because they are going out within the weekend."," I've checked the price as well it's about £2000 for the whole set. (We can all share the cost). I'm really sorry, but I can't come and help the day before. I've gotta help my parents out, because they are going away for the weekend.",0.5443664997816086,0.5358335614204407,0.008532938361167863,True
Make the sentence grammatical: I give this example because in many classes I had are I've seen teacher make decision throughout children based except their gender and it is not our place to make decisions after them.,"Fix grammatically: Make the sentence grammatical: I give this example because in many classes I had are I've seen teacher make decision throughout children based except their gender and it is not our place to make decisions after them.

Corrected:"," I give this example because, in many classes, I saw teachers make decisions for children based on gender, and it is not in our position to make decisions for them."," I give this example because in many classes, I have seen a teacher make a decision throughout children based on their gender and it is not our place to make decisions after them.",0.9530851066112518,0.5289637625217438,0.42412134408950797,False
"Fix grammatical mistakes in this sentence: I know how worried you are, take it easy! , if you like the countryside you've better to go to a small schools, but I thought around it are not the best choice for you because you like noise, cars and tecnology, so I think you will choose the centre along town, downoff additions you like the large buildings because you like running along the areas, don't you?","Fix grammatically: Fix grammatical mistakes in this sentence: I know how worried you are, take it easy! , if you like the countryside you've better to go to a small schools, but I thought around it are not the best choice for you because you like noise, cars and tecnology, so I think you will choose the centre along town, downoff additions you like the large buildings because you like running along the areas, don't you?

Corrected:"," I know how worried you are, but take it easy! If you like the countryside you'd better go to a small school, but I think that it is not the best choice for you because you like noise, cars and technology, so I think you should choose the centre of town, in addition, you like large buildings because you like running around the area, don't you?"," I know how worried you are, take it easy, if you like the countryside, you've better to go to a small schools, but I thought around it is not the best choice for you because you like noise, cars and tecnology, so I think you will choose the center along town, downoff additions you like the large buildings because you like running along the areas, don't you?",0.5158082157373428,0.3122959405183792,0.2035122752189636,False
"Make the sentence grammatical: I realized beyond this attitude would destroy me, and at this points my views of happiness shifted in a more realistic way, acknowledging happiness was step through steps process of overcoming challenge.","Fix grammatically: Make the sentence grammatical: I realized beyond this attitude would destroy me, and at this points my views of happiness shifted in a more realistic way, acknowledging happiness was step through steps process of overcoming challenge.

Corrected:"," I realized beyond this attitude would destroy me, and at this point, my views of happiness shifted in a more realistic way, acknowledging happiness was a step through the process of overcoming the challenge."," I realized that that attitude would destroy me, and at that point, my view of happiness shifted; acknowledging happiness was a step-by-step process of overcoming challenges.",0.9597593009471893,0.9555120587348938,0.004247242212295554,True
"Make the sentence grammatical: When you will deeply thought about positive thing you will found another advantages like you solving actually any problem or troubles which you have, and I can forget to mention the most important thing and it is called beyond help of phone. before example: ambulance, firemen, police and other emergency service.","Fix grammatically: Make the sentence grammatical: When you will deeply thought about positive thing you will found another advantages like you solving actually any problem or troubles which you have, and I can forget to mention the most important thing and it is called beyond help of phone. before example: ambulance, firemen, police and other emergency service.

Corrected:"," When you think deeply about positive things you will find another advantage, you can solve actually any problem or trouble which you have, and I forgot to mention the most important thing and that is calling for help with the phone. For example, the ambulance, firemen, police and other emergency services."," When you will deeply thought about positive things, you will find another advantage like you solving actually any problem or troubles, and I can forget to mention the most important thing and it is called beyond help of the phone.",0.9607502609491348,0.39281232555707296,0.5679379353920619,False
